FrogID,AlternativeCD,AlternativeCR,AlternativeDF,AlternativeRA,AlternativePR,Standard1,Standard2,Standard3,Alternative1,Alternative2,Alternative3,TwoChoiceLatency,TwoChoice,ChoiceBinary,StandardAverage,AlternativeAverage,PhonotaxisScore,ScorePreference,Mismatch,SpeakerPosition,FirstPresented
13196,28,12,2315,-10,46,47,46,42,28,48,43,134,Standard,0,45,40,0.058823529,1,1,left,Alternative
13197,27,15,2304,-8,49,69,44,36,33,27,37,47,Alternative,1,50,32,0.219512195,1,0,left,Alternative
13198,31,13,2646,-12,43,139,102,85,227,111,126,273,Alternative,1,109,155,-0.174242424,0,1,left,Alternative
13206,33,15,2281,-7,50,112,112,117,101,81,61,281,Standard,0,114,81,0.169230769,1,1,left,Standard
13207,26,11,2789,-8,57,101,101,80,126,60,76,110,Alternative,1,94,87,0.038674033,1,0,left,Standard
13208,31,6,2719,-6,51,90,68,73,143,103,113,107,Standard,0,77,120,-0.218274112,0,0,left,Standard
13211,33,15,2233,-12,46,79,41,46,50,36,29,187,Alternative,1,55,38,0.182795699,1,0,left,Alternative
13275,28,12,2667,-16,55,262,237,166,123,122,188,113,Alternative,1,222,144,0.213114754,1,0,left,Standard
13276,29,14,2527,-12,56,123,106,95,76,80,84,70,Alternative,1,108,80,0.14893617,1,0,right,Standard
13277,34,12,2574,-10,45,47,62,63,53,48,57,63,Standard,0,57,53,0.036363636,1,1,right,Standard
13273,27,9,2360,-12,47,95,117,84,121,152,139,117,Standard,0,99,137,-0.161016949,0,0,right,Alternative
13274,29,8,2380,-12,50,56,52,41,85,45,63,91,Standard,0,50,64,-0.122807018,0,0,right,Alternative
13266,25,10,2535,-6,57,41,51,57,63,49,45,150,Standard,0,50,52,-0.019607843,0,0,right,Standard
13298,33,7,2482,-15,57,57,41,30,59,63,67,30,Standard,0,43,63,-0.188679245,0,0,right,Alternative
13310,24,11,2485,-12,52,144,128,166,125,55,218,276,Standard,0,146,133,0.046594982,1,1,right,Alternative
13309,30,10,2302,-10,46,68,41,52,109,62,45,172,Standard,0,54,72,-0.142857143,0,0,right,Alternative
13312,23,13,2370,-12,51,62,68,84,60,55,60,83,Alternative,1,71,58,0.100775194,1,0,right,Alternative
13313,34,14,2316,-8,59,52,89,63,58,58,63,72,Alternative,1,68,60,0.0625,1,0,right,Alternative
13311,28,7,2506,-14,44,101,80,106,184,161,219,178,Standard,0,96,188,-0.323943662,0,0,right,Alternative
13333,27,16,2230,-15,44,69,80,57,82,49,66,128,Standard,0,69,66,0.022222222,1,1,right,Standard
13334,30,14,2432,-12,42,134,112,102,79,97,76,127,Standard,0,116,84,0.16,1,1,right,Standard
13336,27,7,2481,-18,54,167,118,123,161,118,144,258,Standard,0,136,141,-0.018050542,0,0,right,Standard
13364,26,8,2737,-14,46,51,52,62,55,105,175,52,Standard,0,55,112,-0.341317365,0,0,left,Standard
13362,33,10,2612,-11,48,73,84,136,116,91,75,166,Standard,0,98,94,0.020833333,1,1,left,Standard
13374,33,8,2382,-13,51,89,106,90,122,123,125,205,Standard,0,95,123,-0.128440367,0,0,left,Standard
13383,33,13,2774,-7,47,55,78,63,148,171,136,65,Alternative,1,65,152,-0.400921659,0,1,left,Alternative
13376,34,13,2415,-6,48,74,77,83,75,87,79,88,Alternative,1,78,80,-0.012658228,0,1,left,Standard
13456,27,10,2447,-13,51,69,70,95,86,129,93,91,Standard,0,78,103,-0.138121547,0,0,right,Alternative
13461,32,13,2241,-8,47,117,73,111,69,79,65,120,Alternative,1,100,71,0.169590643,1,0,right,Alternative
13462,26,11,2595,-5,47,244,242,85,180,187,213,138,Standard,0,190,193,-0.007832898,0,0,right,Standard
13463,32,8,2537,-12,49,208,102,124,145,133,109,169,Standard,0,145,129,0.058394161,1,1,right,Standard
13464,34,12,2718,-13,49,95,42,45,38,62,58,103,Alternative,1,61,53,0.070175439,1,0,right,Standard
13465,24,16,2413,-14,55,62,46,57,97,83,47,168,Alternative,1,55,76,-0.160305344,0,1,right,Alternative
13466,31,15,2526,-10,49,148,134,112,156,109,85,148,Alternative,1,131,117,0.056451613,1,0,right,Alternative
13467,29,8,2450,-21,44,96,57,67,85,94,258,71,Standard,0,73,146,-0.333333333,0,0,right,Alternative
13469,27,12,2727,-13,49,28,36,39,32,38,53,58,Standard,0,34,41,-0.093333333,0,0,right,Standard
13470,29,13,2583,-7,57,101,52,95,74,60,74,90,Alternative,1,83,69,0.092105263,1,0,right,Standard
13472,34,14,2557,-11,49,58,68,62,50,50,63,76,Alternative,1,63,54,0.076923077,1,0,right,Standard
13473,28,6,2229,-16,48,73,63,62,80,63,72,90,Standard,0,66,72,-0.043478261,0,0,right,Standard
13475,33,13,2436,-9,47,173,69,38,130,54,172,107,Alternative,1,93,119,-0.122641509,0,1,right,Standard
